identifiantStation;nomStation;codeLigne;sensLigne;heureEstimeeDepart;dateModification;cleModification;cleTri
TRANSPOLE:StopPointRef:BP:3471:LOC;TOURCOING CENTRE;TRAM;LILLE FLANDRES;2022-03-10T19:04:50+01:00;2022-03-10T18:48:55+01:00;TRANSPOLE:ItemId::268439113:LOC;LILLE FLANDRES/TOURCOING CENTRE/2022-03-10T19:04:50.000+01:00
TRANSPOLE:StopPointRef:BP:3471:LOC;TOURCOING CENTRE;TRAM;LILLE FLANDRES;2022-03-10T19:14:15+01:00;2022-03-10T18:48:50+01:00;TRANSPOLE:ItemId::268442534:LOC;LILLE FLANDRES/TOURCOING CENTRE/2022-03-10T19:14:15.000+01:00
TRANSPOLE:StopPointRef:BP:3309:LOC;TRIEZ;TRAM;LILLE FLANDRES;2022-03-10T18:56:33+01:00;2022-03-10T18:48:55+01:00;TRANSPOLE:ItemId::268437948:LOC;LILLE FLANDRES/TRIEZ/2022-03-10T18:56:33.000+01:00
TRANSPOLE:StopPointRef:BP:3309:LOC;TRIEZ;TRAM;LILLE FLANDRES;2022-03-10T19:06:01+01:00;2022-03-10T18:48:15+01:00;TRANSPOLE:ItemId::268443950:LOC;LILLE FLANDRES/TRIEZ/2022-03-10T19:06:01.000+01:00
TRANSPOLE:StopPointRef:BP:3309:LOC;TRIEZ;TRAM;LILLE FLANDRES;2022-03-10T19:15:13+01:00;2022-03-10T18:44:55+01:00;TRANSPOLE:ItemId::268439119:LOC;LILLE FLANDRES/TRIEZ/2022-03-10T19:15:13.000+01:00
TRANSPOLE:StopPointRef:BP:2600:LOC;TROIS SUISSES;TRAM;LILLE FLANDRES;2022-03-10T18:54:25+01:00;2022-03-10T18:47:30+01:00;TRANSPOLE:ItemId::268437947:LOC;LILLE FLANDRES/TROIS SUISSES/2022-03-10T18:54:25.000+01:00
TRANSPOLE:StopPointRef:BP:2600:LOC;TROIS SUISSES;TRAM;LILLE FLANDRES;2022-03-10T19:04:12+01:00;2022-03-10T18:46:15+01:00;TRANSPOLE:ItemId::268443949:LOC;LILLE FLANDRES/TROIS SUISSES/2022-03-10T19:04:12.000+01:00
TRANSPOLE:StopPointRef:BP:2600:LOC;TROIS SUISSES;TRAM;LILLE FLANDRES;2022-03-10T19:13:24+01:00;2022-03-10T18:44:55+01:00;TRANSPOLE:ItemId::268439118:LOC;LILLE FLANDRES/TROIS SUISSES/2022-03-10T19:13:24.000+01:00
TRANSPOLE:StopPointRef:BP:1973:LOC;VICTOIRE;TRAM;LILLE FLANDRES;2022-03-10T18:57:53+01:00;2022-03-10T18:40:20+01:00;TRANSPOLE:ItemId::268443945:LOC;LILLE FLANDRES/VICTOIRE/2022-03-10T18:57:53.000+01:00
TRANSPOLE:StopPointRef:BP:1973:LOC;VICTOIRE;TRAM;LILLE FLANDRES;2022-03-10T19:07:04+01:00;2022-03-10T18:32:45+01:00;TRANSPOLE:ItemId::268439114:LOC;LILLE FLANDRES/VICTOIRE/2022-03-10T19:07:04.000+01:00
TRANSPOLE:StopPointRef:BP:1973:LOC;VICTOIRE;TRAM;LILLE FLANDRES;2022-03-10T19:16:24+01:00;2022-03-10T18:45:06+01:00;TRANSPOLE:ItemId::268442535:LOC;LILLE FLANDRES/VICTOIRE/2022-03-10T19:16:24.000+01:00
TRANSPOLE:StopPointRef:BP:2184:LOC;VILLA CAVROIS;TRAM;LILLE FLANDRES;2022-03-10T18:50:23+01:00;2022-03-10T18:48:20+01:00;TRANSPOLE:ItemId::268443478:LOC;LILLE FLANDRES/VILLA CAVROIS/2022-03-10T18:50:23.000+01:00
TRANSPOLE:StopPointRef:BP:2184:LOC;VILLA CAVROIS;TRAM;LILLE FLANDRES;2022-03-10T18:59:40+01:00;2022-03-10T18:43:25+01:00;TRANSPOLE:ItemId::268443019:LOC;LILLE FLANDRES/VILLA CAVROIS/2022-03-10T18:59:40.000+01:00
TRANSPOLE:StopPointRef:BP:2184:LOC;VILLA CAVROIS;TRAM;LILLE FLANDRES;2022-03-10T19:09:14+01:00;2022-03-10T18:34:55+01:00;TRANSPOLE:ItemId::268435996:LOC;LILLE FLANDRES/VILLA CAVROIS/2022-03-10T19:09:14.000+01:00
TRANSPOLE:StopPointRef:BP:344:LOC;BOTANIQUE;TRAM;TOURCOING CENTRE;2022-03-10T18:51:36+01:00;2022-03-10T18:48:15+01:00;TRANSPOLE:ItemId::268440591:LOC;TOURCOING CENTRE/BOTANIQUE/2022-03-10T18:51:36.000+01:00
TRANSPOLE:StopPointRef:BP:344:LOC;BOTANIQUE;TRAM;TOURCOING CENTRE;2022-03-10T19:01:40+01:00;2022-03-10T18:30:00+01:00;TRANSPOLE:ItemId::268444505:LOC;TOURCOING CENTRE/BOTANIQUE/2022-03-10T19:01:40.000+01:00
TRANSPOLE:StopPointRef:BP:344:LOC;BOTANIQUE;TRAM;TOURCOING CENTRE;2022-03-10T19:12:38+01:00;2022-03-10T18:29:55+01:00;TRANSPOLE:ItemId::268444936:LOC;TOURCOING CENTRE/BOTANIQUE/2022-03-10T19:12:38.000+01:00
